Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Sharda Cropchem,Chemicals | 201-500 Employees | Public | 37 years old | Mumbai +7 more,3.9,"Salary & Benefits, Job Security",,88
Malpani Group,Power | 1k-5k Employees | 130 years old | Pune +10 more,4.1,"Work Life Balance, Company Culture, Job Security",,88
DEC Property Management,Facility Management Services | 51-200 Employees | 26 years old | New Delhi +12 more,4.7,"Work Life Balance, Work Satisfaction, Company Culture",,88
Steelcase Asia Pacific Holdings India,Furniture & Furnishing | 201-500 Employees | 112 years old | Pune +9 more,3.9,,Promotions / Appraisal,88
Lohia Auto Industries,Automobile | 201-500 Employees | 16 years old | Kashipur +9 more,4.1,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal,88
Bangalore Baptist Hospital,Healthcare | 1k-5k Employees | 51 years old | Bangalore / Bengaluru +1 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,88
Pavna Group of Industries,Auto Components | 51-200 Employees | Aligarh +4 more,3.4,,"Promotions / Appraisal, Company Culture, Salary & Benefits",88
Telecomone Teleservices,Telecom | 501-1k Employees (Global) | 18 years old | Bangalore / Bengaluru +24 more,4,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,88
Omni Hospital,Healthcare | 501-1k Employees | 14 years old | Hyderabad / Secunderabad +6 more,4,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",88
Allzone Management Solutions,Healthcare | 51-200 Employees | 19 years old | Vellore +3 more,4.1,"Job Security, Work Satisfaction, Skill Development / Learning",,88
BPR Infrastructure,Engineering & Construction | 201-500 Employees | Public | 18 years old | Hyderabad / Secunderabad +9 more,3.8,,"Promotions / Appraisal, Work Life Balance, Company Culture",88
Tv18 Broadcast,Media & Entertainment | 1k-5k Employees | Public | 28 years old | Hyderabad / Secunderabad +18 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,88
P N Gadgil Jewellers,Jewellery | 1k-5k Employees | 192 years old | Pune +21 more,4.5,"Skill Development / Learning, Company Culture, Work Life Balance",,88
Core Energy Systems Limited,Power | 201-500 Employees | Navi Mumbai +20 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,88
Vijay Raja Homes,Real Estate | 501-1k Employees | 75 years old | Chennai +1 more,4.2,"Work Satisfaction, Salary & Benefits, Work Life Balance",,88
Raintree Hotel,Hospitality | 51-200 Employees | 14 years old | Chennai +4 more,4.4,"Work Satisfaction, Job Security, Skill Development / Learning",,88
Mtandt,Industrial Machinery | 51-200 Employees | 50 years old | Chennai +11 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture",88
Telecomone Teleservices,Telecom | 501-1k Employees (Global) | 18 years old | Bengaluru +24 more,4,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,88
Durovalves India,Auto Components | 501-1k Employees | 36 years old | Aurangabad +3 more,3.9,,"Promotions / Appraisal, Salary & Benefits",88
rProcess Outsourcing Services,Analytics & KPO | 501-1k Employees (Global) | 14 years old | Bengaluru +1 more,3.7,,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",88
Affordable Robotic and Automation,IT Services & Consulting | 201-500 Employees | Public | 19 years old | Pune +2 more,3.6,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",88
Medicover Fertility,Healthcare | 51-200 Employees | 29 years old | Stockholm +13 more,3.7,,"Promotions / Appraisal, Job Security, Skill Development / Learning",88
JSS Medical Research,Clinical Research | 201-500 Employees | 39 years old | Saint-Laurent +16 more,3.4,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits",88
Anyone Home,Internet | 501-1k Employees | Lake Forest +21 more,3.9,"Promotions / Appraisal, Company Culture, Salary & Benefits",,88
Mtandt,Industrial Machinery | 51-200 Employees | 50 years old | Chennai +11 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture",88
BPR Infrastructure,Engineering & Construction | 201-500 Employees | Public | 18 years old | Hyderabad +9 more,3.8,,"Promotions / Appraisal, Work Life Balance, Company Culture",88
Jekson Vision,Industrial Machinery | 201-500 Employees | 23 years old | Ahmedabad +5 more,4,"Job Security, Work Life Balance, Salary & Benefits",,88
Capricot Technologies,IT Services & Consulting | 51-200 Employees | 11 years old | Delhi/NCR +5 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",88
SIPL,IT Services & Consulting | 501-1k Employees (Global) | 41 years old | Ghaziabad +32 more,4.2,"Work Life Balance, Skill Development / Learning, Job Security",,88
Bhutani Group,201-500 Employees | Noida +9 more,3.8,,"Promotions / Appraisal, Job Security, Work Satisfaction",88
CARS24 Financial Services,Gurgaon / Gurugram +20 more,3.1,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",88
Hitachi Rail STS,Railways | 201-500 Employees | Noida +16 more,4.1,Skill Development / Learning,,88
Fairdebt Solutions,BPO | 51-200 Employees | Bangalore / Bengaluru +3 more,4.6,"Skill Development / Learning, Company Culture, Job Security",,88
ContactPoint 360,Analytics & KPO | 201-500 Employees | 17 years old | Mississauga +4 more,4.4,"Work Life Balance, Work Satisfaction, Company Culture",,88
Topre India,Auto Components | 11-50 Employees | Ahmedabad +5 more,3.9,,,88
Jindal Stainless Steelway,Iron & Steel | 1k-5k Employees | 20 years old | Gurugram +15 more,4,Job Security,"Promotions / Appraisal, Salary & Benefits",88
Century Textiles and Industries,Pulp & Paper | 1k-5k Employees | Fortune India 500 | 127 years old | Mumbai +32 more,4.4,"Job Security, Company Culture, Work Life Balance",,88
Kreate Energy,Power | 51-200 Employees | 27 years old | New Delhi +12 more,3.6,"Work Life Balance, Job Security","Salary & Benefits, Promotions / Appraisal",88
Valu Connex Telecom Services Private,Telecom | 51-200 Employees | 13 years old | Navi Mumbai +32 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,88
Bhutani Group,201-500 Employees | Noida +9 more,3.8,,"Promotions / Appraisal, Job Security, Work Satisfaction",88
Dynata,Analytics & KPO | 5k-10k Employees | 84 years old | Plano +6 more,3.7,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",88
Preet Group,51-200 Employees | 47 years old | Ghaziabad +7 more,3.3,,"Job Security, Company Culture, Promotions / Appraisal",88
ContactPoint 360,Analytics & KPO | 201-500 Employees | 17 years old | Mississauga +4 more,4.4,"Work Life Balance, Work Satisfaction, Company Culture",,88
CARS24 Financial Services,Gurgaon / Gurugram +20 more,3.1,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",88
Hitachi Rail STS,Railways | 201-500 Employees | Noida +16 more,4.1,Skill Development / Learning,,88
Topre India,Auto Components | 11-50 Employees | Ahmedabad +5 more,3.9,,,88
Fairdebt Solutions,BPO | 51-200 Employees | Bangalore / Bengaluru +3 more,4.6,"Skill Development / Learning, Company Culture, Job Security",,88
DiGiSPICE,Hardware & Networking | 501-1k Employees | Public | 24 years old | Noida +9 more,3.5,,"Job Security, Promotions / Appraisal, Salary & Benefits",88
Doctors for you,Non-Profit | 501-1k Employees | 17 years old | bombay +30 more,3.9,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",88
Provab Technosoft,IT Services & Consulting | 201-500 Employees | 21 years old | Bangalore/Bengaluru +2 more,3.1,,"Promotions / Appraisal, Company Culture, Salary & Benefits",88
Verinite Technologies,FinTech | 51-200 Employees | 13 years old | Pune +1 more,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",,88
Bristol-Myers Squibb,Pharma | 201-500 Employees | Forbes Global 2000 | 137 years old | New York +14 more,4.3,"Skill Development / Learning, Work Life Balance, Job Security",,88
HH Global,IT Services & Consulting | 1k-5k Employees (Global) | 33 years old | Leatherhead +10 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,88
Moolya Software Testing,IT Services & Consulting | 501-1k Employees | 14 years old | Bengaluru/Bangalore +5 more,3.7,,"Promotions / Appraisal, Salary & Benefits",88
CENTRUM HOUSING FINANCE,Financial Services | 51-200 Employees | Public | 8 years old | Mumbai +41 more,3.5,,"Job Security, Promotions / Appraisal, Salary & Benefits",88
Velan Info Services,IT Services & Consulting | 201-500 Employees | 17 years old | Dover +1 more,3.7,"Work Life Balance, Company Culture",,88
Titan Biotech,Agro Chemicals | 51-200 Employees | Public | 32 years old | Delhi/NCR +5 more,3.5,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",88
Appiness Interactive,IT Services & Consulting | 51-200 Employees | 13 years old | Bangalore/Bengaluru +2 more,4.1,"Company Culture, Skill Development / Learning, Job Security",,88
Provab Technosoft,IT Services & Consulting | 201-500 Employees | 21 years old | Bangalore/Bengaluru +2 more,3.1,,"Promotions / Appraisal, Company Culture, Salary & Benefits",88
Elixr Labs Technologies,IT Services & Consulting | 51-200 Employees | Startup | 3 years old | Thiruvananthapuram +3 more,4.6,"Work Life Balance, Company Culture, Skill Development / Learning",,88
Verinite Technologies,FinTech | 51-200 Employees | 13 years old | Pune +1 more,4.2,"Work Life Balance, Skill Development / Learning, Company Culture",,88
V2soft,IT Services & Consulting | 51-200 Employees | 26 years old | Bloomfield Hills +4 more,4.1,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",88
Bristol-Myers Squibb,Pharma | 201-500 Employees | Forbes Global 2000 | 137 years old | New York +14 more,4.3,"Skill Development / Learning, Work Life Balance, Job Security",,88
HH Global,IT Services & Consulting | 1k-5k Employees (Global) | 33 years old | Leatherhead +10 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,88
Geo Designs And Research,Engineering & Construction | 1-10 Employees | 33 years old | Vadodara/Baroda +20 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",88
Nesto Hypermarket,10k-50k Employees (Global) | 20 years old | Ajman +17 more,4,,,88
CENTRUM HOUSING FINANCE,Financial Services | 51-200 Employees | Public | 8 years old | Mumbai +41 more,3.5,,"Job Security, Promotions / Appraisal, Salary & Benefits",88
Extinct Fire Engineers,Industrial Machinery | 51-200 Employees | 34 years old | Mumbai +9 more,3.8,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",88
Chili's Grill & Bar,Hospitality | 11-50 Employees | 49 years old | Dallas +13 more,4.5,Job Security,"Promotions / Appraisal, Salary & Benefits",85
CLP India,Power | 201-500 Employees | 22 years old | Mumbai +10 more,4.3,"Job Security, Company Culture, Work Life Balance",,84
Sara Suole,Fashion & Textile | 501-1k Employees | 23 years old | Bangalore/Bengaluru +12 more,4,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",82
Featherlite,Furniture & Furnishing | 1k-5k Employees | 59 years old | Bangalore/Bengaluru +10 more,3.6,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",80
M+W Group,Engineering & Construction | 51-200 Employees | 112 years old | Stuttgart +13 more,3.9,"Company Culture, Skill Development / Learning, Work Life Balance",,79
Srei Infrastructure Finance,Financial Services | 51-200 Employees | Public | 39 years old | Kolkata +26 more,4.2,"Work Life Balance, Work Satisfaction, Salary & Benefits",,79
Guardian Healthcare Services,Fitness & Wellness | 501-1k Employees | 8 years old | Mumbai +14 more,3.6,,"Job Security, Promotions / Appraisal, Salary & Benefits",90
Shivashakti Bio Technologies,Biotechnology | 1k-5k Employees | 28 years old | Hyderabad/Secunderabad +23 more,4,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",90
SPEC INDIA,IT Services & Consulting | 201-500 Employees | 37 years old | Ahmedabad +3 more,4.4,"Work Life Balance, Salary & Benefits, Company Culture",,89
Mindspace Outsourcing Services,51-200 Employees | Jaipur +1 more,4.1,"Skill Development / Learning, Work Satisfaction, Job Security",,88
Escorts Railway Equipment Division,Industrial Machinery | 62 years old | Faridabad +2 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Company Culture",87
Reliance Naval and Engineering,Ports & Shipping | 5k-10k Employees | 17 years old | Mumbai +11 more,4,Work Life Balance,"Job Security, Promotions / Appraisal, Company Culture",87
CORNITOS,FMCG | 201-500 Employees | 15 years old | Faridabad +18 more,4.1,"Skill Development / Learning, Salary & Benefits",,87
PPS International,Industrial Machinery | 1-10 Employees | Public | 21 years old | Greater Noida +11 more,3.8,,"Skill Development / Learning, Work Satisfaction, Company Culture",87
Volansys Technologies,IT Services & Consulting | 201-500 Employees | 16 years old | Santa Clara +1 more,3.5,,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",87
Tci Freight,Logistics | 201-500 Employees | Public | 66 years old | Gurgaon +28 more,4.3,"Skill Development / Learning, Job Security, Promotions / Appraisal",,87
Shabari Telecable Network,Facility Management Services | 1k-5k Employees (Global) | 34 years old | Bangalore/Bengaluru +7 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",87
Dewar's Garage,Automobile | 201-500 Employees | 29 years old | Kolkata,3.7,,"Job Security, Promotions / Appraisal",87
Dayal Group,201-500 Employees | 45 years old | Meerut +23 more,4.1,"Job Security, Company Culture",,87
Kundan Group,Jewellery | 501-1k Employees | haryana +12 more,3.2,,"Promotions / Appraisal, Job Security, Company Culture",87
Hitachi Solutions,IT Services & Consulting | 501-1k Employees | 11 years old | Chiyoda City +9 more,4,"Work Life Balance, Job Security, Salary & Benefits",,87
Sri Mookambika Infosolutions,IT Services & Consulting | 501-1k Employees | 18 years old | MADURAI +2 more,4,"Salary & Benefits, Work Life Balance, Work Satisfaction",,87
The India Thermit Corporation,Industrial Machinery | 501-1k Employees | Public | 73 years old | Kanpur +6 more,3.7,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",87
Amrit Bottlers,Beverage | 201-500 Employees | 42 years old | Faizabad +8 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,87
The Digital Group Infotech,IT Services & Consulting | 201-500 Employees | 25 years old | Princeton +1 more,3.7,"Work Life Balance, Job Security",Promotions / Appraisal,87
Basavatarakam Indo American Cancer Hospital Research Institute,Healthcare | 501-1k Employees | 24 years old | Hyderabad +5 more,4.5,"Work Satisfaction, Job Security, Skill Development / Learning",,87
Hester Biosciences,Biotechnology | 201-500 Employees | Public | 41 years old | Ahmedabad +12 more,4.1,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,87
Flender,Industrial Machinery | 5k-10k Employees (Global) | 125 years old | Bocholt +3 more,3.9,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",87
AIT Global,IT Services & Consulting | 51-200 Employees | 21 years old | Pune +4 more,3.9,Work Life Balance,Promotions / Appraisal,87
